13474-580, Avenida Affonso Arinos, Antônio Zanaga, Americana/SP
13474-542, Rua Jesus Gonçalves, Antônio Zanaga, Americana/SP
13474-554, Rua Joaquim Cardozo, Antônio Zanaga, Americana/SP
13474-497, Rua Joracy Camargo, Antônio Zanaga, Americana/SP
13474-544, Rua José Veríssimo, Antônio Zanaga, Americana/SP
13474-502, Rua Leandro Gomes de Barros, Antônio Zanaga, Americana/SP
13474-495, Rua Lupe Cotrin Garaude, Antônio Zanaga, Americana/SP
13474-530, Rua Maria Cavalcante Proença, Antônio Zanaga, Americana/SP
13474-552, Rua Marques Rebelo, Antônio Zanaga, Americana/SP
13474-501, Rua Orestes Barbosa, Antônio Zanaga, Americana/SP
13474-523, Rua Padre Cícero, Antônio Zanaga, Americana/SP
13474-492, Rua Ribeiro Couto, Antônio Zanaga, Americana/SP
13474-490, Rua Sousa Andrade, Antônio Zanaga, Americana/SP
13474-531, Rua Teófilo Dias, Antônio Zanaga, Americana/SP
13474-493, Rua Xico Santeiro, Antônio Zanaga, Americana/SP
13474-590, Avenida Cândido Portinari, Antônio Zanaga I, Americana/SP
13474-629, Praça Farmacêutico Hermes Fanelli, Antônio Zanaga I, Americana/SP
13474-599, Praça Vinícius de Moraes, Antônio Zanaga I, Americana/SP
13474-602, Rua Anália Franco, Antônio Zanaga I, Americana/SP
13474-640, Rua Anita Garibaldi, Antônio Zanaga I, Americana/SP
13474-664, Rua Anita Malfati, Antônio Zanaga I, Americana/SP
13474-620, Rua Ari Barroso, Antônio Zanaga I, Americana/SP
13474-652, Rua Aura Celeste, Antônio Zanaga I, Americana/SP
13474-612, Rua Bastos Tigre, Antônio Zanaga I, Americana/SP
13474-661, Rua Belmiro Braga, Antônio Zanaga I, Americana/SP
13474-650, Rua Benedito Calixto, Antônio Zanaga I, Americana/SP
13474-636, Rua Bittencourt Sampaio, Antônio Zanaga I, Americana/SP
13474-635, Rua Cipriano Juca, Antônio Zanaga I, Americana/SP
13474-601, Rua Clarice Lispector, Antônio Zanaga I, Americana/SP
13474-600, Rua Cornélio Pena, Antônio Zanaga I, Americana/SP
13474-670, Rua Cyro Costa, Antônio Zanaga I, Americana/SP
13474-631, Rua Djanira, Antônio Zanaga I, Americana/SP
13474-665, Rua Durval de Morais, Antônio Zanaga I, Americana/SP
13474-611, Rua Ernesto Nazareth, Antônio Zanaga I, Americana/SP
13474-632, Rua Francisco Valdomiro Lorenz, Antônio Zanaga I, Americana/SP
13474-610, Rua Joaquim Murtinho, Antônio Zanaga I, Americana/SP
13474-666, Rua José Gregório de Macedo, Antônio Zanaga I, Americana/SP
13474-634, Rua Júlio Salusse, Antônio Zanaga I, Americana/SP
13474-651, Rua Leopoldo Froes, Antônio Zanaga I, Americana/SP
13474-633, Rua Lins de Vasconcelos, Antônio Zanaga I, Americana/SP
13474-630, Rua Luiz Otávio, Antônio Zanaga I, Americana/SP
13474-667, Rua Martins Pena, Antônio Zanaga I, Americana/SP
13474-660, Rua Osman Lins, Antônio Zanaga I, Americana/SP
13474-662, Rua Ricardo Gonçalves, Antônio Zanaga I, Americana/SP
13474-663, Rua Tobias Barreto, Antônio Zanaga I, Americana/SP
13474-453, Avenida Nina Rodrigues, Antônio Zanaga II, Americana/SP
13474-420, Avenida Vitalino, Antônio Zanaga II, Americana/SP
13474-422, Rua Adelmar Tavares, Antônio Zanaga II, Americana/SP
13474-402, Rua Alberto Seabra, Antônio Zanaga II, Americana/SP
13474-423, Rua Alceu Wamosy, Antônio Zanaga II, Americana/SP
13474-413, Rua Álvaro Moreira, Antônio Zanaga II, Americana/SP
13474-441, Rua Américo Falcão, Antônio Zanaga II, Americana/SP
13474-440, Rua Antonio Conselheiro, Antônio Zanaga II, Americana/SP
13474-432, Rua Ascenso Ferreira, Antônio Zanaga II, Americana/SP
13474-404, Rua Auta de Souza, Antônio Zanaga II, Americana/SP
13474-451, Rua Caetano de Campos, Antônio Zanaga II, Americana/SP
13474-444, Rua Cásper Líbero, Antônio Zanaga II, Americana/SP
13474-430, Rua Cleomenes Campos, Antônio Zanaga II, Americana/SP
13474-425, Rua Costa e Silva, Antônio Zanaga II, Americana/SP
13474-443, Rua Dalmo Florence, Antônio Zanaga II, Americana/SP
13474-452, Rua Emiliano Perneta, Antônio Zanaga II, Americana/SP
13474-450, Rua Gondim da Fonseca, Antônio Zanaga II, Americana/SP
13474-401, Rua Graça Aranha, Antônio Zanaga II, Americana/SP
13474-426, Rua Hugo de Carvalho Ramos, Antônio Zanaga II, Americana/SP
13474-412, Rua João do Rio, Antônio Zanaga II, Americana/SP
13474-414, Rua José Lins do Rego, Antônio Zanaga II, Americana/SP
13474-442, Rua Judas Isgorogota, Antônio Zanaga II, Americana/SP
13474-431, Rua Juvenal Galeno, Antônio Zanaga II, Americana/SP
13474-411, Rua Lima Barreto, Antônio Zanaga II, Americana/SP
13474-445, Rua Lúcio Cardoso, Antônio Zanaga II, Americana/SP
13474-424, Rua Mário de Andrade, Antônio Zanaga II, Americana/SP
13474-400, Rua Men de Sá, Antônio Zanaga II, Americana/SP
13474-405, Rua Noel Rosa, Antônio Zanaga II, Americana/SP
13474-415, Rua Pedro Gentile, Antônio Zanaga II, Americana/SP
13474-403, Rua Raul de Leoni, Antônio Zanaga II, Americana/SP
13474-421, Rua Rodrigues de Abreu, Antônio Zanaga II, Americana/SP
13474-446, Rua Solano Trindade, Antônio Zanaga II, Americana/SP
13474-410, Rua Valdomiro Silveira, Antônio Zanaga II, Americana/SP
13479-899, Área Rural, Área Rural de Americana, Americana/SP
13479-700, Passagem A, Bairro da Lagoa, Americana/SP
13479-701, Passagem B, Bairro da Lagoa, Americana/SP
13479-702, Passagem C, Bairro da Lagoa, Americana/SP
13479-703, Passagem D, Bairro da Lagoa, Americana/SP
13479-704, Passagem E, Bairro da Lagoa, Americana/SP
13479-705, Passagem F, Bairro da Lagoa, Americana/SP
13479-706, Passagem G, Bairro da Lagoa, Americana/SP
13479-300, Rodovia Luiz de Queiroz, Bairro da Lagoa, Americana/SP
13479-301, Rua Maranhão, Bairro da Lagoa, Americana/SP
13479-302, Via de Acesso Comandante César Albuquerque Almeida, Bairro da Lagoa, Americana/SP
13476-796, Rua Alexandre Georgette, Balneário Riviera, Americana/SP
13476-790, Rua Bernardino Rubbo, Balneário Riviera, Americana/SP
13476-770, Rua Carlos Alberto Brassorotto, Balneário Riviera, Americana/SP
13476-750, Rua Ferdinando Pinese, Balneário Riviera, Americana/SP
13476-794, Rua Francisco Facão, Balneário Riviera, Americana/SP
13476-791, Rua João Rossi, Balneário Riviera, Americana/SP
13476-801, Rua José Naccarato, Balneário Riviera, Americana/SP
13476-760, Rua Luiz Corsi, Balneário Riviera, Americana/SP
13476-795, Rua Luiz Trevizolli, Balneário Riviera, Americana/SP
13476-755, Rua Maranhão, Balneário Riviera, Americana/SP
13476-793, Rua Oswaldo Jensen, Balneário Riviera, Americana/SP
13476-800, Rua Quinto Ferramola, Balneário Riviera, Americana/SP
13476-792, Rua Valdemar Nogueira, Balneário Riviera, Americana/SP
13476-780, Rua Vicente Sarra, Balneário Riviera, Americana/SP
13476-730, Avenida São Paulo, Balneário Salto Grande, Americana/SP
13476-739, Praça Antônio Piva, Balneário Salto Grande, Americana/SP
13476-734, Rua Arcoverde, Balneário Salto Grande, Americana/SP
13476-733, Rua Bahia, Balneário Salto Grande, Americana/SP
13476-731, Rua Bandeirantes, Balneário Salto Grande, Americana/SP
13476-732, Rua Brasil, Balneário Salto Grande, Americana/SP
13476-735, Rua Maranhão, Balneário Salto Grande, Americana/SP
13475-082, Avenida Comendador Thomaz Fortunato, Barroca, Americana/SP
13475-080, Avenida Olímpica Lionello Ravera, Barroca, Americana/SP
13475-230, Avenida Comendador Thomaz Fortunato, Boa Esperança, Americana/SP
13478-830, Avenida Angelina Pascote, Bom Recreio, Americana/SP
13478-519, Praça Antônio Marino, Bosque da Saúde, Americana/SP
13478-499, Praça da Imigração Japonesa, Bosque da Saúde, Americana/SP
13478-490, Rua Alfredo Bediks, Bosque da Saúde, Americana/SP
13478-510, Rua Antônio Gonzalez Vazquez, Bosque da Saúde, Americana/SP
13478-500, Rua Lázara Castelo B. Galante, Bosque da Saúde, Americana/SP
13478-505, Rua Maria Regina Delben Astorri, Bosque da Saúde, Americana/SP
13475-712, Rua Armando Dadona, Bosque dos Ipês, Americana/SP
13475-714, Rua Arnaldo Duarte, Bosque dos Ipês, Americana/SP
13475-702, Rua Cacilda Franco de Arruda Guelli, Bosque dos Ipês, Americana/SP
13475-710, Rua Cinco, Bosque dos Ipês, Americana/SP
13475-715, Rua Existente Dois, Bosque dos Ipês, Americana/SP
13475-703, Rua Fátima Cristina Pinhanelli Ribeiro, Bosque dos Ipês, Americana/SP
13475-705, Rua Franz Hetzl, Bosque dos Ipês, Americana/SP
13475-701, Rua João Miguel Homsi, Bosque dos Ipês, Americana/SP
13475-704, Rua João Salvador, Bosque dos Ipês, Americana/SP
13475-700, Rua Joraime Giordano, Bosque dos Ipês, Americana/SP
13475-711, Rua Quatro, Bosque dos Ipês, Americana/SP
13475-713, Rua Três, Bosque dos Ipês, Americana/SP
13466-189, Praça Melvin Jones, Brieds, Americana/SP
13466-230, Rua Caiapós, Brieds, Americana/SP
13466-180, Rua Carajás, Brieds, Americana/SP
13466-190, Rua Duque de Caxias, Brieds, Americana/SP
13466-182, Rua Goitacazes, Brieds, Americana/SP
13466-200, Rua Guaianazes, Brieds, Americana/SP
13466-184, Rua Tabajaras, Brieds, Americana/SP
13466-181, Rua Tapajós, Brieds, Americana/SP
13466-183, Rua Tapuias, Brieds, Americana/SP
13466-210, Rua Timbiras, Brieds, Americana/SP
13466-220, Rua Tupiniquins, Brieds, Americana/SP
13466-185, Rua Turunas, Brieds, Americana/SP
13477-010, Avenida Antônio Pinto Duarte, Campo Limpo, Americana/SP
13477-029, Praça Doutor João de Castro Gonçalves, Campo Limpo, Americana/SP
13477-070, Rua Abelardo Fonseca, Campo Limpo, Americana/SP
13477-022, Rua Alarico Santa Rosa, Campo Limpo, Americana/SP
13477-090, Rua Antônio Nunes, Campo Limpo, Americana/SP
13477-080, Rua Antônio Ortolano, Campo Limpo, Americana/SP
13477-021, Rua B, Campo Limpo, Americana/SP
13477-040, Rua Batista Dextro, Campo Limpo, Americana/SP
13477-060, Rua Benedito Otávio de Campos, Campo Limpo, Americana/SP
13477-120, Rua Dionísio Rodrigues da Silva, Campo Limpo, Americana/SP
13477-101, Rua Félicio Canciani, Campo Limpo, Americana/SP
13477-020, Rua Ítalo Boschiero, Campo Limpo, Americana/SP
13477-100, Rua João Missio, Campo Limpo, Americana/SP
13477-030, Rua José Valentim Casati, Campo Limpo, Americana/SP
13477-051, Rua Luiz Possenti, Campo Limpo, Americana/SP
13477-130, Rua Manoel José do Nascimento, Campo Limpo, Americana/SP
13477-050, Rua Onório Cardoso, Campo Limpo, Americana/SP
13477-000, Rua Orlando Dei Santi, Campo Limpo, Americana/SP
13477-023, Rua Pedro Boen, Campo Limpo, Americana/SP
13477-110, Rua Pedro Vaz de Campos, Campo Limpo, Americana/SP
13473-349, Praça Benedito Ribeiro Pires de Campos, Campo Verde, Americana/SP
13473-311, Praça Padre Gleiton Pinheiro de Miranda, Campo Verde, Americana/SP
13473-330, Rua Armando Gonçalves da Rocha, Campo Verde, Americana/SP
13473-340, Rua Charles Fenley, Campo Verde, Americana/SP
13473-320, Rua Ernesto Furini, Campo Verde, Americana/SP
13473-360, Rua Estéfano Tancredi, Campo Verde, Americana/SP
13473-350, Rua José Fogo, Campo Verde, Americana/SP
13473-310, Rua Olivindo Fonseca, Campo Verde, Americana/SP
13473-312, Rua Vécio José Alves, Campo Verde, Americana/SP
13472-726, Avenida Bandeirantes, Carioba, Americana/SP
13472-717, Avenida Carioba, Carioba, Americana/SP
13472-721, Caminho da Servidão, Carioba, Americana/SP
13472-714, Estrada Velha de Carioba, Carioba, Americana/SP
13472-719, Praça Arlindo Reami, Carioba, Americana/SP
13472-720, Rua C, Carioba, Americana/SP
13472-724, Rua da Fábrica, Carioba, Americana/SP
13472-718, Rua da Igreja, Carioba, Americana/SP
13472-715, Rua da Leiteria, Carioba, Americana/SP
13472-723, Rua da Represa, Carioba, Americana/SP
13472-725, Rua da Usina, Carioba, Americana/SP
13472-722, Rua do Escritório, Carioba, Americana/SP
13472-716, Rua E, Carioba, Americana/SP
13472-711, Rua F, Carioba, Americana/SP
13472-712, Rua G, Carioba, Americana/SP
13472-713, Rua H, Carioba, Americana/SP
13472-710, Rua Particular, Carioba, Americana/SP
13472-410, Estrada Velha de Limeira, Cariobinha, Americana/SP
13472-399, Praça Maria Penélope Tonelli Sacoman, Cariobinha, Americana/SP
13472-405, Rua Santo André, Cariobinha, Americana/SP
13472-390, Rua São Benedito, Cariobinha, Americana/SP
13472-370, Rua São Bento, Cariobinha, Americana/SP
13472-401, Rua São Camilo, Cariobinha, Americana/SP
13472-403, Rua São Clemente, Cariobinha, Americana/SP
13472-402, Rua São Geraldo, Cariobinha, Americana/SP
13472-380, Rua São Joaquim, Cariobinha, Americana/SP
13472-404, Rua São José, Cariobinha, Americana/SP
13472-400, Rua São Sebastião, Cariobinha, Americana/SP
13472-360, Rua São Simão, Cariobinha, Americana/SP
13469-360, Avenida Carmine Feola, Catharina Zanaga, Americana/SP
13469-372, Avenida Europa, Catharina Zanaga, Americana/SP
13469-362, Rua Adílio Feola, Catharina Zanaga, Americana/SP
13469-401, Rua Alexandre Rubinato, Catharina Zanaga, Americana/SP
13469-370, Rua Arioldo Cechino, Catharina Zanaga, Americana/SP
13469-364, Rua Cinaldo Gomes, Catharina Zanaga, Americana/SP
13469-390, Rua Irineu Penteado, Catharina Zanaga, Americana/SP
13469-363, Rua Mário Tognetta, Catharina Zanaga, Americana/SP
13469-361, Rua Miguel Abrão, Catharina Zanaga, Americana/SP
13469-392, Rua Olímpio Corrêa, Catharina Zanaga, Americana/SP
13469-391, Rua Pedro Dollo, Catharina Zanaga, Americana/SP
13469-380, Rua Vitório Furlan, Catharina Zanaga, Americana/SP
13469-400, Rua Wady Bufarah, Catharina Zanaga, Americana/SP
13465-739, Praça Caetano Cecchino, Cechino, Americana/SP
13465-750, Rua Bolívia, Cechino, Americana/SP
13465-740, Rua Chile, Cechino, Americana/SP
13465-730, Rua Paraguai, Cechino, Americana/SP
13465-035, Avenida Bandeirantes, Centro, Americana/SP
13465-005, Avenida Doutor Antônio Lobo, Centro, Americana/SP
ver todos, Avenida Nove de Julho, Centro, Americana/SP
13465-519, Praça Basílio Rangel, Centro, Americana/SP
13465-289, Praça Comendador Müller, Centro, Americana/SP
13465-019, Praça da Matriz, Centro, Americana/SP
13465-529, Praça Francisco Furlan, Centro, Americana/SP
13465-459, Praça Nossa Senhora Aparecida, Centro, Americana/SP
13465-259, Praça Parque Ideal, Centro, Americana/SP
13465-279, Praça Pio XII, Centro, Americana/SP
13465-009, Praça Quinze de Novembro, Centro, Americana/SP
13465-269, Praça Trinta e Um de Março, Centro, Americana/SP
13465-499, Praça Wanda Hansen Martins, Centro, Americana/SP
13465-510, Rua Benedito Soares de Barros, Centro, Americana/SP
13465-070, Rua Benjamin Constant, Centro, Americana/SP
13465-010, Rua Capitão Corrêa Pacheco, Centro, Americana/SP
13465-015, Rua Carioba, Centro, Americana/SP
13465-480, Rua Castro Alves, Centro, Americana/SP
13465-040, Rua Dom Pedro II, Centro, Americana/SP
13465-060, Rua dos Professores, Centro, Americana/SP
13465-270, Rua Doutor Vieira Bueno, Centro, Americana/SP
13465-490, Rua Doze de Novembro, Centro, Americana/SP
13465-020, Rua Fernando Camargo, Centro, Americana/SP
13465-311, Rua Francisco Rubbo, Centro, Americana/SP
ver todos, Rua Gonçalves Dias, Centro, Americana/SP
13465-300, Rua Heitor Penteado, Centro, Americana/SP
13465-285, Rua Ipiranga, Centro, Americana/SP
13465-530, Rua Joaquim Luiz de Mattos, Centro, Americana/SP
13465-310, Rua Jorge Jones, Centro, Americana/SP
13465-450, Rua José de Alencar, Centro, Americana/SP
13465-050, Rua Marechal Deodoro, Centro, Americana/SP
13465-080, Rua Marechal Floriano Peixoto, Centro, Americana/SP
13465-470, Rua Olavo Bilac, Centro, Americana/SP
13465-250, Rua Padre Epifânio Estevam, Centro, Americana/SP
13465-260, Rua Princesa Isabel, Centro, Americana/SP
13465-030, Rua Rio Branco, Centro, Americana/SP
13465-280, Rua Rui Barbosa, Centro, Americana/SP
13465-320, Rua Sete de Setembro, Centro, Americana/SP
13465-500, Rua Trinta de Julho, Centro, Americana/SP
13465-520, Rua Washington Luiz, Centro, Americana/SP
13465-290, Travessa Charles Hall, Centro, Americana/SP
13465-521, Travessa Giongo, Centro, Americana/SP
ver todos, Avenida Brasil, Chácara Girassol, Americana/SP
13475-010, Avenida Comendador Thomaz Fortunato, Chácara Letônia, Americana/SP
13475-056, Estrada Isabela Gonçalves Ferro Santarosa, Chácara Letônia, Americana/SP
13475-000, Rodovia Anhanguera, Chácara Letônia, Americana/SP
13475-005, Rua Adalberto Panzam, Chácara Letônia, Americana/SP
13475-054, Rua Américo Pace, Chácara Letônia, Americana/SP
13475-052, Rua Antônio Felipe Caran, Chácara Letônia, Americana/SP
13475-050, Rua Doutor Sahid Maluf, Chácara Letônia, Americana/SP
13475-055, Rua Ferdinando Drago, Chácara Letônia, Americana/SP
13475-051, Rua Luiz Urban Calligaris, Chácara Letônia, Americana/SP
13475-053, Rua Pompeu Ardito, Chácara Letônia, Americana/SP
13475-413, Avenida Comendador Thomaz Fortunato, Chácara Lucília, Americana/SP
13475-421, Caminho de Servidão, Chácara Lucília, Americana/SP
13475-412, Rua Calimério Paes de Campos, Chácara Lucília, Americana/SP
13475-411, Rua Giordano Salvador, Chácara Lucília, Americana/SP
13475-420, Rua João Luchiari, Chácara Lucília, Americana/SP
13475-410, Rua Vitório Pigatto, Chácara Lucília, Americana/SP
13478-049, Praça Tiradentes, Chácara Machadinho I, Americana/SP
13478-100, Rua Guanabara, Chácara Machadinho I, Americana/SP
13478-040, Rua José Bonifácio, Chácara Machadinho I, Americana/SP
13478-080, Rua Mato Grosso, Chácara Machadinho I, Americana/SP
13478-090, Rua Paraíba, Chácara Machadinho I, Americana/SP
13478-070, Rua Piauí, Chácara Machadinho I, Americana/SP
13478-060, Rua Rio de Janeiro, Chácara Machadinho I, Americana/SP
13478-050, Rua Rondônia, Chácara Machadinho I, Americana/SP
13478-051, Rua Roraima, Chácara Machadinho I, Americana/SP
13478-071, Travessa João Batista Dei Santi, Chácara Machadinho I, Americana/SP
13478-242, Avenida Bandeirantes, Chácara Machadinho II, Americana/SP
13478-249, Praça da Constituição Municipal, Chácara Machadinho II, Americana/SP
13478-240, Rua Amazonas, Chácara Machadinho II, Americana/SP
13478-241, Rua Bahia, Chácara Machadinho II, Americana/SP
13478-210, Rua Brigadeiro Faria Lima, Chácara Machadinho II, Americana/SP
13478-220, Rua Doutor João Zanaga, Chácara Machadinho II, Americana/SP
13478-200, Rua Goiás, Chácara Machadinho II, Americana/SP
13478-250, Rua Jaime Gabriel dos Santos, Chácara Machadinho II, Americana/SP
13478-190, Rua Minas Gerais, Chácara Machadinho II, Americana/SP
13478-230, Rua Operário Oswaldo dos Santos, Chácara Machadinho II, Americana/SP
13476-153, Caminho de Servidão, Chácara Machado, Americana/SP
13476-152, Rua João Antônio de Carvalho, Chácara Machado, Americana/SP
13476-151, Rua Maria do Carmo Santos Carvalho, Chácara Machado, Americana/SP
13465-436, Avenida Rafael Vitta, Chácara Rodrigues, Americana/SP
13465-439, Praça Gilberto A. Cremasco, Chácara Rodrigues, Americana/SP
13465-438, Praça Oswaldo Salgals, Chácara Rodrigues, Americana/SP
13465-432, Rua Batista Scarpin, Chácara Rodrigues, Americana/SP
13465-434, Rua Hugo Bregaid, Chácara Rodrigues, Americana/SP
13465-435, Rua José da Silva Calvo, Chácara Rodrigues, Americana/SP
13465-433, Rua Mabília Rodrigues, Chácara Rodrigues, Americana/SP
13465-430, Rua Pedro Conti, Chácara Rodrigues, Americana/SP
13465-431, Rua Roberto Bernini, Chácara Rodrigues, Americana/SP
13475-360, Avenida Comendador Thomaz Fortunato, Chácaras Alto da Represa, Americana/SP
13475-220, Avenida Comendador Thomaz Fortunato, Chácaras São Francisco, Americana/SP
13466-550, Avenida de Cillo, Cidade Jardim I, Americana/SP
13466-615, Avenida Prefeito Abdo Najar, Cidade Jardim I, Americana/SP
13466-539, Praça Evangelista de Nardo, Cidade Jardim I, Americana/SP
13466-559, Rua Andrea Guidolim, Cidade Jardim I, Americana/SP
13466-560, Rua das Açucenas, Cidade Jardim I, Americana/SP
13466-630, Rua das Angélicas, Cidade Jardim I, Americana/SP
13466-650, Rua das Cravinas, Cidade Jardim I, Americana/SP
13466-600, Rua das Imbuias, Cidade Jardim I, Americana/SP
13466-640, Rua das Palmas, Cidade Jardim I, Americana/SP
13466-620, Rua das Papoulas, Cidade Jardim I, Americana/SP
13466-530, Rua das Primaveras, Cidade Jardim I, Americana/SP
13466-520, Rua das Tulipas, Cidade Jardim I, Americana/SP
13466-610, Rua dos Antúrios, Cidade Jardim I, Americana/SP
13466-570, Rua dos Crisântemos, Cidade Jardim I, Americana/SP
13466-580, Rua dos Lírios, Cidade Jardim I, Americana/SP
13466-590, Rua dos Miosótis, Cidade Jardim I, Americana/SP
13466-540, Rua dos Salgueiros, Cidade Jardim I, Americana/SP
13467-189, Praça Guilherme de Assumpção, Cidade Jardim II, Americana/SP
13467-119, Praça Oscar Ignácio de Souza, Cidade Jardim II, Americana/SP
13467-209, Praça Padre Roberto Landell de Moura, Cidade Jardim II, Americana/SP
13467-193, Rua Bromélia, Cidade Jardim II, Americana/SP
13467-204, Rua das Açucenas, Cidade Jardim II, Americana/SP
13467-191, Rua das Alfazemas, Cidade Jardim II, Americana/SP
13467-120, Rua das Azaléas, Cidade Jardim II, Americana/SP
13467-203, Rua das Begônias, Cidade Jardim II, Americana/SP
13467-196, Rua das Camélias, Cidade Jardim II, Americana/SP
13467-202, Rua das Dálias, Cidade Jardim II, Americana/SP
13467-195, Rua das Dracenas, Cidade Jardim II, Americana/SP
13467-198, Rua das Glicínias, Cidade Jardim II, Americana/SP
13467-190, Rua das Hortências, Cidade Jardim II, Americana/SP
13467-150, Rua das Magnólias, Cidade Jardim II, Americana/SP
13467-170, Rua das Malvas, Cidade Jardim II, Americana/SP
13467-140, Rua das Margaridas, Cidade Jardim II, Americana/SP
13467-080, Rua das Orquídeas, Cidade Jardim II, Americana/SP
13467-070, Rua das Petúnias, Cidade Jardim II, Americana/SP
13467-110, Rua das Rosas, Cidade Jardim II, Americana/SP
13467-100, Rua das Violetas, Cidade Jardim II, Americana/SP
13467-211, Rua Dois, Cidade Jardim II, Americana/SP
13467-090, Rua dos Cactos, Cidade Jardim II, Americana/SP
13467-180, Rua dos Cravos, Cidade Jardim II, Americana/SP
13467-192, Rua dos Gerânios, Cidade Jardim II, Americana/SP
13467-130, Rua dos Girassóis, Cidade Jardim II, Americana/SP
13467-201, Rua dos Jacintos, Cidade Jardim II, Americana/SP
13467-197, Rua dos Jasmins, Cidade Jardim II, Americana/SP
13467-200, Rua dos Lilases, Cidade Jardim II, Americana/SP
13467-160, Rua dos Lírios, Cidade Jardim II, Americana/SP
13467-194, Rua Gardênia, Cidade Jardim II, Americana/SP
13467-213, Rua Quatro, Cidade Jardim II, Americana/SP
13467-212, Rua Três, Cidade Jardim II, Americana/SP
13467-210, Rua Um, Cidade Jardim II, Americana/SP
13467-087, Travessa Avencas, Cidade Jardim II, Americana/SP
13467-083, Travessa Clivia, Cidade Jardim II, Americana/SP
13467-082, Travessa Copo de Leite, Cidade Jardim II, Americana/SP
13467-088, Travessa Flor de Maio, Cidade Jardim II, Americana/SP
13467-081, Travessa Flor do Campo, Cidade Jardim II, Americana/SP
13467-084, Travessa Ipomeias, Cidade Jardim II, Americana/SP
13467-086, Travessa Lantana, Cidade Jardim II, Americana/SP
13467-085, Travessa Vitória Régia, Cidade Jardim II, Americana/SP
13466-020, Rua Bororós, Conserva, Americana/SP
13466-030, Rua Cabo Oswaldo de Morais, Conserva, Americana/SP
13466-010, Rua Coroados, Conserva, Americana/SP
13466-000, Rua Dom Pedro II, Conserva, Americana/SP
13466-001, Rua Irati, Conserva, Americana/SP
13466-044, Rua Tibiriçá, Conserva, Americana/SP
13478-259, Avenida Bandeirantes, Fazenda Machadinho, Americana/SP
13476-202, Avenida Padre Constantino Gardinali, Fazenda Santa Lúcia, Americana/SP
13475-680, Estrada Alvim Biasi, Fazenda Santa Lúcia, Americana/SP
13476-212, Rua Achiles Zanaga Camargo Neves, Fazenda Santa Lúcia, Americana/SP
13476-203, Rua Carmella Canciano, Fazenda Santa Lúcia, Americana/SP
13476-200, Rua Cinco, Fazenda Santa Lúcia, Americana/SP
13476-204, Rua Honorato José de Oliveira, Fazenda Santa Lúcia, Americana/SP
13476-201, Rua Jair de Andrade Silva, Fazenda Santa Lúcia, Americana/SP
13476-210, Rua Ottávio Tancredi, Fazenda Santa Lúcia, Americana/SP
13476-205, Rua Professor João Rodella, Fazenda Santa Lúcia, Americana/SP
13475-110, Caminho Particular, Fazendinha, Americana/SP
13475-100, Estrada da Fazendinha, Fazendinha, Americana/SP
13475-152, Avenida Comendador Thomaz Fortunato, Iate Clube de Americana, Americana/SP
13475-160, Avenida Dois, Iate Clube de Americana, Americana/SP
13475-190, Avenida Três, Iate Clube de Americana, Americana/SP
13475-150, Avenida Um, Iate Clube de Americana, Americana/SP
13475-171, Rua A, Iate Clube de Americana, Americana/SP
13475-175, Rua Cinco, Iate Clube de Americana, Americana/SP
13475-184, Rua Dez, Iate Clube de Americana, Americana/SP
